标题,小区,房厅,面积,朝向,楼层,年份,位置,总价(万),单价(元/平方米)
此房为高楼层 无个税 配套设施齐全 交通便利 诚意出售,金樟花苑 ,2室1厅,71.84平米,西南,6,1995,金杨,650,90479
电梯大一房，精装修，满五年，产权清晰，中间楼层,御桥花园 ,1室2厅,81.78平米,南,14,2005,御桥,616,75325
周浦热点小区全南精装两房 采光充足 配套齐全 m5v1,印象春城 ,2室2厅,89.72平米,南,18,2011,周浦,529,58962
税费少+安静宜居+双天井+诚意出售+杨思前滩,南杨小区(新浦路) ,2室2厅,88.82平米,南 北,6,1994,杨思前滩,530,59672
9号线蓝天路站，全明户型，电梯房，高区景观好,香山新村东南街坊 ,2室1厅,75.49平米,南,24,1996,金杨,530,70208
前滩张江御桥+房源已满五+总价低,地杰国际城E欧泊时光 ,2室1厅,84.4平米,南,26,2007,御桥,725,85901
好房推荐：滴水湖一线湖景房 开发商精装交付 拎包入住,陆家嘴滴水涟岸 ,2室2厅,88.38平米,南,14,未知,临港新城,569,64382
6号线商品房，lcm旭辉广场，名人苑公园，南北通，钢混,仁和花苑 ,2室1厅,76.62平米,南,7,1996,金杨,525,68520
前滩杨思+南北两房+满五年+品质小区+近地铁500米+急售,绿茵苑(浦东) ,2室1厅,75.28平米,南 北,6,1998,杨思前滩,515,68412
内边边 户型正气 全明 满5年 近地铁6+9+14号线 非顶楼,香山新村西北街坊 ,3室2厅,83.21平米,南,6,1997,金杨,570,68502
北蔡版块+地铁2/7/18/16/13+龙阳CBD+业主诚心出售,莲溪二村 ,2室2厅,84.84平米,南,6,1996,北蔡,502,59171
杨思前滩 世博家园 高区电梯两房 动迁税费少 位置楼层,三林世博家园(东书房路390弄) ,2室1厅,85.26平米,南 北,24,2006,杨思前滩,568,66620
满五+一梯两户商品房+方正南北户型+采光良好,金杨路750弄 ,3室1厅,83.5平米,南,6,1996,金杨,530,63474
三林前滩+满五年税少+南北通+精装修,杉林新月环林东路799弄 ,2室1厅,71.18平米,南,6,2004,三林,502,70526
满五税费低、11号18号地铁、配套齐全、路过不可错过！,御桥花园 ,2室1厅,76.18平米,南,6,1996,御桥,600,78761
"临河观景 高层,满五无个税 买进万价高，精装修",印象春城 ,2室2厅,88.23平米,南,18,2011,周浦,590,66871
小区位置好，配套完善，近地铁，税费少,三林世博家园(新浦路251弄) ,2室2厅,74.72平米,南,6,2006,杨思前滩,535,71641
动迁房性质+无其他房产+6/9/14三轨交汇++诚意出售,金杨六街坊 ,3室1厅,83.08平米,南,6,1994,金杨,695,83655
毕加索小镇(一期)(公寓) 2室2厅 南,毕加索小镇(一期)(公寓) ,2室2厅,89.23平米,南,8,2010,唐镇,720,80691
印象春城 南北通 满五年 中间楼层 诚意出售看房提前约,印象春城 ,2室2厅,89.43平米,南 北,18,2011,周浦,630,70447
总价低+一梯二户+双南双阳+全明户型+德平路地铁,上泰花苑 ,2室1厅,70.34平米,南,6,1998,金杨,550,78192
中环内6.9.14三轨 电梯中高楼层 500内万少有的好户型,金杨新村八街坊 ,2室2厅,81.81平米,南,24,1996,金杨,500,61118
新出红色商品房边套全明，楼层好位置好满五年放心购买,绿川新苑 ,2室2厅,82.15平米,南,6,2000,北蔡,540,65734
杨思前滩+三轨交汇+全明户型+带阁楼+看房方便,源城锦翠苑 ,3室2厅,73.13平米,南,6,2005,杨思前滩,660,90251
花木北蔡板块+龙阳路CBD+地铁2/7/16/18/磁悬浮满五年,芳华路268弄 ,3室1厅,80.48平米,南,6,1996,北蔡,555,68962
外环内商品房小区，15年房龄，小区新，配套纯熟。,绿洲康城亲水湾(中央区) ,2室2厅,81平米,南,23,2015,御桥,575,70988
绿地品质采光好无遮挡，精装修，无个税,绿地东上海三期 ,2室2厅,89.03平米,南,21,2014,周浦,680,76379
建在公园里的精装两房，大家速来围观,绿地香颂(浦东)(公寓) ,2室1厅,82.75平米,南,18,2011,三林,620,74925
房改售房 南北户型好 采光好 满五年且仅有此一套住房,金杨新村四街坊 ,3室1厅,88.52平米,南,7,1994,金杨,760,85857
杨思前滩板块，近地铁商品房小区,绿茵苑(浦东) ,2室2厅,78.71平米,南 北,6,1998,杨思前滩,518,65812
金桥新村四街坊 2室1厅 南,金桥新村四街坊 ,2室1厅,86.54平米,南,6,1998,金桥,680,78577
模范小区 三房 花园位置 房东诚意出售 看中可签,金桥新村四街坊 ,3室1厅,85.01平米,南 北,6,1997,金桥,698,82108
此房南北通，格局好，业主诚心，寻找有缘人，看三件套,久阳滨江公寓 ,1室1厅,70.61平米,南 北,25,2006,陆家嘴,690,97720
陆家嘴||滨江畔||地铁口||精装修||随时看,京城大厦 ,2室1厅,82.41平米,南,12,2002,陆家嘴,580,70380
北蔡/花木+龙阳路CBD+地铁2/7/16/18线/磁悬浮+精装修,芳华路580弄 ,2室1厅,70.2平米,南 北,6,1995,北蔡,520,74075
一手动迁，近模范，税费低，户型方正，近6号线,金桥新村四街坊 ,3室1厅,75.19平米,南,6,1997,金桥,560,74478
电梯双南、明珠， 满五、 小区花园位置，产权户口清晰,新明大楼 ,2室1厅,71.4平米,南,18,1993,潍坊,770,107844
满五少税费，业主婚房装修。房型可塑性高，居住适宜。,春港丽园(公寓) ,3室1厅,86.27平米,南,6,2000,张江,543,62942
满五年 有车位 无抵押 无贷款 位置好 随时能签字,印象春城 ,2室1厅,88.34平米,南,18,2011,周浦,540,61128
近地铁 单价低  房龄新 视野好 边套全明,君誉江畔 ,2室1厅,88.08平米,南,27,2013,塘桥,550,62444
模范小区 三房 花园位置 房东诚意出售 看中可签,金桥新村四街坊 ,3室1厅,74.34平米,南,6,1997,金桥,598,80442
"户型方正，拎包入住，满五税费少,业主诚意出售",泾东小区 ,2室1厅,87.03平米,西南,25,1990,洋泾,750,86178
正气三房 视野开阔 无遮挡 小区环境优美,金桥湾清水苑 ,3室1厅,86.47平米,南,6,1998,金桥,690,79797
大户型，房改售房税费少，户型方正，近地铁近商场,博山小区 ,3室1厅,85.24平米,南,25,1990,洋泾,660,77429
已核验备案+御桥张江前滩+满五+格局好+低密度品质小区,东方御水湾 ,3室2厅,89.37平米,南 北,11,2012,御桥,735,82243
精装修＋近地铁＋物业管理好+离陆家嘴近,陆家嘴滨江公馆 ,2室2厅,76.4平米,南,29,1994,洋泾,665,87042
金色中环发展带＋动迁少税＋非一楼＋店长推荐＋近地铁,三林世博家园(大道站路94弄) ,2室1厅,85.12平米,南 北,6,2006,杨思前滩,535,62853
⭐⭐⭐⭐商品房+满五年+税费少+精装修+地下车位,保利金色唐城 ,2室2厅,81.2平米,南,6,2008,唐镇,545,67119
杨思前滩，位置好，户型好，诚意出售，价格可谈,东方吉苑 ,2室2厅,87.72平米,南 北,6,2007,杨思前滩,750,85500
6-9-14三轨交汇+双天井+配套齐全+精装修,金杨六街坊 ,3室1厅,83.08平米,南,6,1995,金杨,699,84136
此房重新翻新精装修两房 好楼层采光好 满五年税费少,陆家嘴滨江公馆 ,2室1厅,76.4平米,南,29,1994,洋泾,698,91362
三林板块+地铁11号线+新达汇广场+一梯两户+户型全明,品华苑 ,3室1厅,76.94平米,南,6,1999,三林,510,66286
内环内，低总价，双南两房，无增值税，14号，电梯高区,凌高小区 ,2室1厅,89.62平米,东南,24,1995,洋泾,570,63602
前滩CBD，地铁口次新小区，中楼层，税费少，看房方便,源城锦翠苑 ,2室2厅,73.23平米,南 北,5,2005,杨思前滩,676,92312
⭐⭐⭐电梯房，采光充足，小区位置好，税费少,香山新村东南街坊 ,2室1厅,75.11平米,南,24,1996,金杨,538,71629
前滩南三林板块  十一号线地铁三林东站  诚意出售,绿地香颂(浦东)(公寓) ,3室2厅,87.84平米,南,18,2011,三林,640,72860
诚意出售，楼层好，双阳台，看房方便，满五少税,金杨新村四街坊 ,2室1厅,70.51平米,南,6,1995,金杨,627,88924
金色中环：新杨思、无个税、位置安静、带花园,新里城和合苑 ,2室1厅,79.5平米,南,6,1999,杨思前滩,740,93082
